id,lat,lng,seq
M040874,40.840578,-73.942912,310007
M040874,40.840578,-73.942912,320001
M040874,40.842425,-73.942161,320002
M040874,40.842425,-73.942161,330001
M040874,40.842622,-73.942079,330002
M040874,40.842802,-73.942009,330003
M040874,40.843072,-73.941899,330004
M040874,40.843432,-73.941639,330005
M040874,40.844042,-73.941139,330006
M040874,40.844342,-73.940942,330007
M040874,40.844342,-73.940942,340001
M040874,40.845716,-73.940367,340002
M040874,40.845716,-73.940367,350001
M040874,40.846841,-73.939912,350002
M040874,40.846841,-73.939912,360001
M040874,40.846992,-73.939849,360002
M040874,40.847202,-73.939779,360003
M040874,40.847832,-73.939519,360004
M040874,40.847922,-73.939489,360005
M040874,40.847922,-73.939489,370001
M040874,40.848192,-73.939399,370002
M040874,40.848662,-73.939249,370003
M040874,40.848852,-73.939179,370004
M040874,40.848942,-73.939139,370005
M040874,40.849092,-73.939059,370006
M040874,40.849162,-73.939019,370007
M040874,40.849292,-73.938949,370008
M040874,40.849682,-73.938779,370009
M040874,40.849982,-73.938649,370010
M040874,40.850902,-73.938279,370011
M040874,40.851220,-73.938160,370012
M040874,40.851220,-73.938160,380001
M040874,40.852409,-73.937723,380002
M040874,40.852409,-73.937723,390001
M040874,40.853652,-73.937338,390002
M040874,40.853652,-73.937338,400001
M040874,40.855098,-73.936886,400002
M040874,40.855098,-73.936886,410001
M040874,40.855422,-73.936789,410002
M040874,40.855702,-73.936639,410003
M040874,40.857102,-73.935599,410004
M040874,40.857365,-73.935404,410005
M040874,40.857365,-73.935404,420001
M040874,40.858422,-73.934619,420002
M040874,40.858672,-73.934459,420003
M040874,40.859018,-73.934250,420004
M040875,40.820661,-73.954533,10001
M040875,40.821271,-73.954089,10002
M040875,40.821271,-73.954089,20001
M040875,40.822843,-73.952938,20002
M040875,40.822843,-73.952938,30001
M040875,40.824110,-73.952021,30002
M040875,40.824110,-73.952021,40001
M040875,40.825338,-73.951112,40002
M040875,40.825338,-73.951112,50001
M040875,40.826824,-73.950046,50002
M040875,40.826824,-73.950046,60001
M040875,40.827945,-73.949211,60002
M040875,40.827945,-73.949211,70001
M040875,40.829196,-73.948310,70002
M040875,40.829196,-73.948310,80001
M040875,40.830445,-73.947395,80002
M040875,40.830445,-73.947395,90001
M040875,40.831726,-73.946452,90002
M040875,40.831726,-73.946452,100001
M040875,40.833017,-73.945503,100002
